iter	RMSE
358	33212.65017
359	33183.29861
360	33173.96766
361	33145.57827
362	33091.28702
363	33062.83626
364	33032.27938
365	33025.19055
366	32982.45271
367	32955.09238
368	32923.55546
369	32897.11653
370	32875.99611
371	32870.62253
372	32843.04672
373	32789.64898
374	32724.67434
375	32714.57411
376	32693.78442
377	32671.65313
378	32625.84038
379	32609.24744
380	32568.40026
381	32554.22175
382	32546.57077
383	32519.03507
384	32471.10222
385	32439.14284
386	32405.8098
387	32385.20424
388	32343.75529
389	32337.69839
390	32300.71169
391	32276.01305
392	32259.06049
393	32243.51138
394	32234.05001
395	32192.21598
396	32174.43806
397	32155.58413
398	32113.16566
399	32077.18778
400	32046.17704
401	32013.71928
402	31976.15028
403	31955.47057
404	31931.60806
405	31903.42139
406	31894.82664
407	31868.4797
408	31838.53063
409	31833.69586
410	31829.10339
411	31788.24226
412	31756.52234
413	31750.25278
414	31738.38437
415	31718.29606
416	31684.89263
417	31673.4435
418	31649.69892
419	31631.56725
420	31596.39567
421	31562.95482
422	31530.01262
423	31503.51544
424	31467.53634
425	31436.46427
426	31398.98473
427	31355.75776
428	31318.47514
429	31290.66294
430	31256.58513
431	31234.9387
432	31230.0575
433	31201.68715
434	31185.08418
435	31158.86535
436	31120.41725
437	31072.49256
438	31037.82974
439	31023.02208
440	31009.45281
441	31004.68714
442	30979.91087
443	30932.89951
444	30911.1597
445	30886.66379
446	30869.36642
447	30865.85579
448	30858.84746
449	30839.02961
450	30786.20575
451	30770.23941
452	30751.37114
453	30726.62183
454	30709.24473
455	30679.31287
456	30657.62247
457	30630.92742
458	30581.70331
459	30556.11055
460	30530.37751
461	30504.69257
462	30470.76605
463	30436.99789
464	30401.92069
465	30389.52365
466	30382.13984
467	30363.30978
468	30346.29568
469	30334.88814
470	30315.41668
471	30304.59395
472	30283.66412
473	30263.78355
474	30236.74044
475	30202.05996
476	30191.31079
477	30164.3761
478	30116.39739
479	30112.33728
480	30087.61033
481	30062.69046
482	30035.27416
483	30026.57919
484	30008.84394
485	29995.25392
486	29981.01018
487	29960.94694
488	29914.39779
489	29880.22808
490	29862.33178
491	29848.98035
492	29815.68933
493	29785.78505
494	29746.94072
495	29704.31927
496	29685.79527
497	29681.4472
498	29661.35497
499	29638.86566
500	29624.37413
501	29602.23472
502	29584.58244
503	29561.02621
504	29540.74066
505	29501.62414
506	29466.0367
507	29441.8779
508	29411.8605
509	29382.93541
510	29340.15856
511	29313.29714
512	29285.70664
513	29265.09838
514	29261.85422
515	29247.98637
516	29232.91234
517	29187.77467
518	29168.66654
519	29134.70699
520	29113.95816
521	29082.72026
522	29059.52631
523	29032.61959
524	29020.7289
525	29016.96931
526	28998.86816
527	28972.8381
528	28941.14446
529	28919.04383
530	28900.55087
531	28878.86445
532	28857.46905
533	28828.29455
534	28814.14716
535	28789.3391
536	28770.44618
537	28749.43475
538	28723.0695
539	28692.89163
540	28677.05009
541	28666.17519
542	28632.64719
543	28617.30483
544	28613.74437
545	28597.78539
546	28571.49388
547	28559.38923
548	28524.03461
549	28510.39519
550	28487.0012
551	28479.75353
552	28458.73949
553	28432.15327
554	28402.78991
555	28382.10422
556	28377.98223
557	28343.97459
558	28324.22405
559	28288.01436
560	28272.89769
561	28266.13396
562	28239.48616
563	28218.81254
564	28179.78211
565	28161.25974
566	28143.36455
567	28127.52671
568	28109.72274
569	28085.55464
570	28069.39096
571	28049.19726
572	28036.36493
573	27998.06874
574	27978.28179
575	27967.04444
576	27949.00056
577	27932.62908
578	27907.32347
579	27877.07797
580	27864.05713
581	27835.54381
582	27821.57611
583	27794.30208
584	27784.11546
585	27764.60789
586	27736.79051
587	27714.17524
588	27698.2051
589	27683.4154
590	27657.98997
591	27639.12343
592	27611.89367
593	27597.09948
594	27579.61184
595	27559.29363
596	27553.37104
597	27520.19934
598	27493.09802
599	27464.23299
600	27438.40636
601	27416.99415
602	27374.51631
603	27354.00389
604	27338.93402
605	27311.23088
606	27281.04945
607	27248.15242
608	27228.98499
609	27217.60041
610	27203.44289
611	27183.01512
612	27165.07524
613	27151.79389
614	27135.67098
615	27114.79127
616	27102.2995
617	27092.01678
618	27067.22809
619	27036.05812
620	27032.68372
621	27007.4183
622	26981.38801
623	26964.35655
624	26951.04062
625	26933.57151
626	26918.91769
627	26888.71246
628	26858.73129
629	26856.30631
630	26841.59463
631	26819.38832
632	26795.50465
633	26755.28477
634	26751.84303
635	26731.13772
636	26706.10354
637	26694.02871
638	26671.14964
639	26649.68106
640	26632.04012
641	26607.16164
642	26597.42957
643	26588.83629
644	26557.61611
645	26544.85212
646	26529.41422
647	26521.32752
648	26498.6042
649	26475.58487
650	26468.70509
651	26449.77008
652	26424.87494
653	26415.0521
654	26390.90705
655	26381.26685
656	26357.9918
657	26338.04931
658	26312.9741
659	26300.16669
660	26283.25163
661	26271.07381
662	26271.0565
663	26253.45886
664	26236.83859
665	26218.95261
666	26194.5068
667	26180.67898
668	26165.24424
669	26164.34312
670	26162.41478
671	26146.85074
672	26134.24181
673	26116.33562
674	26089.38615
675	26079.2812
676	26054.27557
677	26048.59507
678	26044.05316
679	26032.83973
680	26025.85771
681	26003.95988
682	25981.02318
683	25963.82211
684	25962.1569
685	25938.5392
686	25920.70915
687	25917.47595
688	25903.73763
689	25889.06621
690	25874.71505
691	25861.59334
692	25850.60462
693	25828.31158
694	25821.5718
695	25813.25711
696	25783.22221
697	25770.71192
698	25735.79627
699	25711.60727
700	25687.72875
701	25673.29994
702	25661.28522
703	25651.2287
704	25630.51476
705	25619.84734
706	25603.2411
707	25582.02611
708	25564.05319
709	25544.98313
710	25522.67046
711	25505.63981
712	25487.46885
713	25472.5872
714	25471.96912
715	25452.54131
716	25415.87846
717	25396.98879
718	25375.00117
719	25360.68604
720	25336.84932
721	25323.72082
722	25307.94522
723	25298.64045
724	25283.77533
725	25256.8119
726	25240.72044
727	25235.71432
728	25221.23873
729	25205.25702
730	25200.67618
731	25189.70974
732	25174.14005
733	25156.55351
734	25142.45851
735	25140.71642
736	25129.14914
737	25096.18193
738	25084.20552
739	25065.29213
740	25053.13383
741	25033.9499
742	25003.11073
743	24996.77605
744	24988.59632
745	24983.92333
746	24973.02683
747	24946.18775
748	24943.49658
749	24925.0065
750	24916.22066
751	24905.38533
752	24892.79628
753	24864.93164
754	24850.15513
755	24838.30285
756	24811.20489
757	24790.05063
758	24780.46011
759	24763.94518
760	24732.48342
761	24714.92285
762	24704.29032
763	24686.54231
764	24679.13203
765	24658.7632
766	24645.68207
767	24642.50294
768	24627.39728
769	24618.32767
770	24611.84684
771	24586.90787
772	24563.94354
773	24561.84924
774	24547.92321
775	24526.09743
776	24506.70056
777	24494.34106
778	24480.13041
779	24466.55145
780	24457.66575
781	24439.85004
782	24426.83247
783	24417.78068
784	24405.89826
785	24394.90287
786	24377.72153
787	24365.25543
788	24343.68682
789	24307.35745
790	24289.34987
791	24283.27235
792	24263.27022
793	24241.41862
794	24215.87513
795	24205.70969
796	24190.64383
797	24167.87024
798	24164.83544
799	24159.9435
800	24147.77034
801	24115.80111
802	24115.20594
803	24097.25672
804	24083.2854
805	24069.24873
806	24058.79754
807	24043.88009
808	24031.13018
809	24006.52306
810	23987.00464
811	23973.22277
812	23952.59759
813	23929.4362
814	23907.93615
815	23898.30955
816	23895.56857
817	23871.25874
818	23853.02133
819	23842.34724
820	23821.15614
821	23820.82748
822	23807.01791
823	23794.71056
824	23783.27302
825	23762.60188
826	23749.8725
827	23716.3891
828	23707.90911
829	23691.34974
830	23675.18818
831	23653.83111
832	23643.7578
833	23624.64555
834	23599.35712
835	23570.4103
836	23552.09365
837	23534.58624
838	23514.09467
839	23499.506
840	23480.72555
841	23475.72471
842	23455.20498
843	23438.79665
844	23426.07065
845	23403.71645
846	23398.82284
847	23380.36767
848	23375.64736
849	23360.58609
850	23340.71855
851	23318.19493
852	23305.30653
853	23293.49466
854	23277.91255
855	23275.87818
856	23273.63505
857	23257.19092
858	23242.07713
859	23228.61675
860	23213.75681
861	23193.77295
862	23183.51616
863	23163.11284
864	23143.25639
865	23132.54412
866	23122.80059
867	23105.37635
868	23088.67466
869	23075.1325
870	23048.4817
871	23029.53827
872	23012.83484
873	23002.16491
874	22981.40045
875	22960.07986
876	22944.79772
877	22931.3496
878	22909.02197
879	22887.48443
880	22880.67196
881	22865.08404
882	22848.24915
883	22817.91902
884	22814.70477
885	22799.58111
886	22770.10544
887	22750.58288
888	22735.8698
889	22727.20187
890	22708.12123
891	22704.05967
892	22693.00563
893	22677.86415
894	22661.64209
895	22650.13099
896	22636.4798
897	22623.50945
898	22605.79636
899	22593.016
900	22572.77565
901	22569.27241
902	22552.74427
903	22550.07903
904	22534.26108
905	22521.17765
906	22501.15438
907	22479.24537
908	22478.52436
909	22461.42781
910	22460.62519
911	22459.82621
912	22447.25277
913	22434.81541
914	22424.43836
915	22404.66041
916	22398.33603
917	22388.80997
918	22379.43833
919	22367.43647
920	22363.35444
921	22357.44466
922	22343.82531
923	22327.65256
924	22324.59396
925	22303.19242
926	22297.28696
927	22280.05226
928	22267.63519
929	22247.11841
930	22231.17239
931	22215.8658
932	22202.46408
933	22191.25706
934	22176.30608
935	22175.73778
936	22172.48759
937	22145.04054
938	22121.25883
939	22108.13728
940	22101.23973
941	22089.94715
942	22074.91841
943	22072.86472
944	22058.3528
945	22042.95053
946	22032.79982
947	22018.49873
948	22011.0228
949	21987.62111
950	21981.8211
951	21970.33236
952	21965.62764
953	21958.95122
954	21957.28218
955	21955.69209
956	21954.1221
957	21945.09339
958	21941.37692
959	21920.26553
960	21903.00252
961	21883.7168
962	21865.88509
963	21842.90464
964	21823.62509
965	21821.58344
966	21813.07583
967	21798.35928
968	21784.04183
969	21760.92509
970	21746.86286
971	21722.61295
972	21710.28974
973	21703.05061
974	21699.58281
975	21698.83373
976	21681.55738
977	21667.24654
978	21662.87049
979	21641.83245
980	21637.08615
981	21628.85392
982	21616.99102
983	21608.97301
984	21604.14261
985	21598.63881
986	21583.12795
987	21572.19094
988	21561.49088
989	21556.89211
990	21534.1409
991	21512.54947
992	21503.23202
993	21485.66379
994	21476.86384
995	21461.94107
996	21442.94991
997	21433.70692
998	21421.71891
999	21402.08703
